"N","pi1","pi2","lambda","parameter","stat.value","sv.sd","bot_type"
10,"0.3","0.3",0.3,"f0",0.202235772357724,0.132557028809396,"physical"
10,"0.3","0.3",0.3,"f1",0.305284552845528,0.16841334662366,"physical"
10,"0.3","0.3",0.3,"f2",0.492479674796748,0.169112784867368,"physical"
10,"0.3","0.3",0.3,"Q",-0.118089430894309,0.469928720306735,"physical"
10,"0.3","0.3",0.6,"f0",0.220934959349594,0.125993970038844,"physical"
10,"0.3","0.3",0.6,"f1",0.248780487804878,0.228290683195739,"physical"
10,"0.3","0.3",0.6,"f2",0.530284552845528,0.23536062446613,"physical"
10,"0.3","0.3",0.6,"Q",0.0327235772357723,0.668681333580374,"physical"
10,"0.3","0.3",0.9,"f0",0.220934959349594,0.122718444151761,"physical"
10,"0.3","0.3",0.9,"f1",0.164837398373984,0.221463779625675,"physical"
10,"0.3","0.3",0.9,"f2",0.614227642276423,0.229230566805062,"physical"
10,"0.3","0.3",0.9,"Q",0.284552845528455,0.64945943623893,"physical"
20,"0.3","0.3",0.3,"f0",0.192378048780488,0.0949211022244728,"physical"
20,"0.3","0.3",0.3,"f1",0.283841463414634,0.119136742483865,"physical"
20,"0.3","0.3",0.3,"f2",0.523780487804878,0.130538351791954,"physical"
20,"0.3","0.3",0.3,"Q",-0.0439024390243902,0.343892618456201,"physical"
20,"0.3","0.3",0.6,"f0",0.175774229781772,0.0833851943106422,"physical"
20,"0.3","0.3",0.6,"f1",0.251472240051348,0.137911944364242,"physical"
20,"0.3","0.3",0.6,"f2",0.572753530166881,0.148032565868481,"physical"
20,"0.3","0.3",0.6,"Q",0.0698090500641849,0.407373252438505,"physical"
20,"0.3","0.3",0.9,"f0",0.158414634146341,0.0796584514929168,"physical"
20,"0.3","0.3",0.9,"f1",0.0714024390243903,0.109872204570334,"physical"
20,"0.3","0.3",0.9,"f2",0.770182926829268,0.13758546044808,"physical"
20,"0.3","0.3",0.9,"Q",0.627378048780488,0.341364536843684,"physical"
35,"0.3","0.3",0,"f0",0.197056275954579,0.0697240930149773,"physical"
35,"0.3","0.3",0,"f1",0.324596552173522,0.090105782398778,"physical"
35,"0.3","0.3",0,"f2",0.478347171871899,0.0882835726975394,"physical"
35,"0.3","0.3",0,"Q",-0.170845932475145,0.249746634534639,"physical"
35,"0.3","0.3",0.3,"f0",0.183610188261351,0.0638256428561347,"physical"
35,"0.3","0.3",0.3,"f1",0.292668881506091,0.0704078308093282,"physical"
35,"0.3","0.3",0.3,"f2",0.523720930232558,0.0786069973949051,"physical"
35,"0.3","0.3",0.3,"Q",-0.0616168327796235,0.200333049150608,"physical"
35,"0.3","0.3",0.6,"f0",0.158237301178997,0.0646561030021522,"physical"
35,"0.3","0.3",0.6,"f1",0.207613010702155,0.109083157101147,"physical"
35,"0.3","0.3",0.6,"f2",0.634149688118849,0.113493769720322,"physical"
35,"0.3","0.3",0.6,"Q",0.218923666714539,0.318867519456058,"physical"
35,"0.3","0.3",0.9,"f0",0.151757019247749,0.0558689606673379,"physical"
35,"0.3","0.3",0.9,"f1",0.0727529577962211,0.0672205435709035,"physical"
35,"0.3","0.3",0.9,"f2",0.77549002295603,0.0773934628253614,"physical"
35,"0.3","0.3",0.9,"Q",0.629984107363588,0.197074025685809,"physical"
35,"0.4","0.2",0,"f0",0.21906247085764,0.0738403615313154,"physical"
35,"0.4","0.2",0,"f1",0.455716047208032,0.0828914231679611,"physical"
35,"0.4","0.2",0,"f2",0.325221481934327,0.0782096196579296,"physical"
35,"0.4","0.2",0,"Q",-0.586210612481737,0.220615874423903,"physical"
35,"0.4","0.2",0.3,"f0",0.193507250210397,0.0708654852249047,"physical"
35,"0.4","0.2",0.3,"f1",0.408579245651749,0.0900895364944807,"physical"
35,"0.4","0.2",0.3,"f2",0.397913504137854,0.0903918438906082,"physical"
35,"0.4","0.2",0.3,"Q",-0.419244987165644,0.251326420911635,"physical"
35,"0.4","0.2",0.6,"f0",0.166970410993181,0.0676348141019057,"physical"
35,"0.4","0.2",0.6,"f1",0.311367475029714,0.11545414302338,"physical"
35,"0.4","0.2",0.6,"f2",0.521662113977104,0.12292756438904,"physical"
35,"0.4","0.2",0.6,"Q",-0.101072836082324,0.340826314932172,"physical"
35,"0.4","0.2",0.9,"f0",0.163349783361389,0.054209475710393,"physical"
35,"0.4","0.2",0.9,"f1",0.1921946987516,0.13241431815602,"physical"
35,"0.4","0.2",0.9,"f2",0.644455517887011,0.14352458859706,"physical"
35,"0.4","0.2",0.9,"Q",0.260066120383811,0.401399922768574,"physical"
