N,interac_r,avg,std
35,3.5,5.54,2.128003759395176
492,3.5,12.552,4.292236712950487
35,3.8,10.6,4.303486958270003
35,4.0,17.26,6.226748750351181
492,4.0,176.264,60.5921637177614
35,4.2,23.25,5.738248861804444
35,4.3,26.04,4.705146118878775
35,4.4,28.31,4.006731835299188
35,4.5,30.21,3.0993386391293223
492,4.5,432.376,11.792651271024685
35,5.0,33.98,1.0675204916066017
492,5.0,478.672,4.039358364889157
35,5.5,34.8,0.4
492,5.5,489.048,1.7747382905656823
35,6.0,34.96,0.1959591794226542
492,6.0,491.384,0.8834840123058254
492,6.5,491.856,0.4508480897153719
35,7.0,35.0,0.0
492,7.0,491.992,0.0890842298052803
