radius,N,varN,stdN
1.0,0.085,0.077775,0.2788817
2.0,0.4,0.24999999,0.49999997
3.0,0.925,0.45937502,0.6777721
4.0,1.555,0.77697515,0.8814619
5.0,2.37,1.0931005,1.0455145
6.0,3.535,1.5987749,1.2644267
7.0,4.85,1.8775005,1.3702191
8.0,6.395,2.1189728,1.4556692
9.0,8.01,2.669899,1.6339825
10.0,9.985,2.5647812,1.6014935
11.0,12.135,3.1867828,1.7851562
12.0,14.42,4.2135925,2.0527036
13.0,16.82,4.2676086,2.065819
14.0,19.535,3.8387756,1.9592794
15.0,22.345,3.626007,1.9042077
16.0,25.235,3.8997803,1.9747862
17.0,28.625,3.4943848,1.8693273
18.0,32.855,1.6939697,1.301526
19.0,35.0,0.0,0.0
20.0,35.0,0.0,0.0
