coms,counts,probs
1,939,0.3018322082931533
2,339,0.10896817743490839
3,156,0.05014464802314368
4,114,0.03664416586306654
5,66,0.021215043394406944
6,50,0.016072002571520413
7,34,0.01092896174863388
8,47,0.015107682417229186
9,21,0.006750241080038573
10,33,0.010607521697203472
11,27,0.008678881388621022
12,17,0.00546448087431694
13,25,0.008036001285760206
14,20,0.006428801028608165
15,23,0.007393121182899389
16,18,0.0057859209257473485
17,15,0.0048216007714561235
18,18,0.0057859209257473485
19,15,0.0048216007714561235
20,18,0.0057859209257473485
21,27,0.008678881388621022
22,23,0.007393121182899389
23,24,0.007714561234329798
24,34,0.01092896174863388
25,36,0.011571841851494697
26,32,0.010286081645773062
27,38,0.012214721954355513
28,35,0.011250401800064288
29,45,0.01446480231436837
30,57,0.01832208293153327
31,105,0.033751205400192864
32,123,0.03953712632594021
33,130,0.04178720668595307
34,187,0.060109289617486336
35,220,0.0707168113146898
